"TA+b009l","1","1","1","1","0","0","0","2019-12-15","2020-12-12"
"TA+b009u","0","1","1","1","0","0","0","2019-12-15","2020-12-12"
"TA+b009v","0","0","0","0","0","0","1","2019-12-15","2020-12-12"
"TA+b009w","1","1","1","1","1","0","0","2019-12-15","2020-12-12"
"TA+b009y","1","1","1","1","1","1","1","2019-12-15","2020-12-12"
"TA+b00a2","1","1","1","1","1","0","0","2019-12-15","2020-12-12"
"TA+b00a4","0","1","0","0","0","0","0","2019-12-15","2020-12-12"
"TA+b00a5","0","1","0","0","1","0","0","2019-12-15","2020-12-12"
"TA+b00a6","0","0","0","0","0","1","0","2019-12-15","2020-12-12"
"TA+b00ab","1","1","1","1","1","1","1","2019-12-15","2020-12-12"
"TA+b00ae","0","0","0","0","1","1","1","2019-12-15","2020-12-12"
"TA+b00af","1","1","1","1","1","1","1","2019-12-15","2020-12-12"
"TA+b00ag","1","1","1","1","1","1","1","2019-12-15","2020-12-12"
"TA+b00ah","1","1","1","1","1","1","1","2019-12-15","2020-12-12"
"TA+b00ai","0","0","0","0","0","0","1","2019-12-15","2020-12-12"
"TA+b00ao","0","0","0","0","0","1","0","2019-12-15","2020-12-12"
"TA+b00ap","0","0","0","0","0","1","0","2019-12-15","2020-12-12"
"TA+b00aq","1","1","1","1","1","0","0","2019-12-15","2020-12-12"
"TA+b00ax","0","0","0","1","0","1","1","2019-12-15","2020-12-12"
"TA+b00ay","1","1","0","0","0","0","0","2019-12-15","2020-12-12"
"TA+b00b5","0","0","0","0","0","1","1","2019-12-15","2020-12-12"
"TA+b00b6","1","1","1","1","1","0","0","2019-12-15","2020-12-12"
"TA+b00bw","0","0","0","1","0","0","0","2019-12-15","2020-12-12"
"TA+b00bx","1","1","1","1","1","0","0","2019-12-15","2020-12-12"
"TA+b00by","1","1","1","1","1","0","0","2019-12-15","2020-12-12"
"TA+b00c1","1","1","1","1","1","1","1","2019-12-15","2020-12-12"
"TA+b00c3","0","1","1","1","1","0","0","2019-12-15","2020-12-12"
"TA+b00c4","0","0","0","0","0","1","0","2019-12-15","2020-12-12"
"TA+b00c5","1","1","1","1","1","0","0","2019-12-15","2020-12-12"
"TA+b00c7","1","1","1","1","1","0","0","2019-12-15","2020-12-12"
"TA+b00cc","1","1","1","1","1","0","0","2019-12-15","2020-12-12"
"TA+b00cd","1","1","1","1","1","0","0","2019-12-15","2020-12-12"
"TA+b00cg","1","1","1","1","0","0","0","2019-12-15","2020-12-12"
"TA+b00cu","1","1","1","1","0","0","1","2019-12-15","2020-12-12"
"TA+b00d5","0","0","0","0","0","1","0","2019-12-15","2020-12-12"
"TA+b00df","0","0","0","0","1","1","0","2019-12-15","2020-12-12"
"TA+b00dh","1","1","1","1","1","1","0","2019-12-15","2020-12-12"
"TA+b00dj","0","0","0","0","1","1","0","2019-12-15","2020-12-12"
"TA+b00dk","1","0","0","0","0","1","1","2019-12-15","2020-12-12"
"TA+b00dq","1","1","1","1","1","0","0","2019-12-15","2020-12-12"
"TA+b00dr","1","1","1","1","1","0","0","2019-12-15","2020-12-12"
"TA+b00dv","1","1","1","1","1","0","0","2019-12-15","2020-12-12"
"TA+b00dw","1","1","1","1","0","0","0","2019-12-15","2020-12-12"
"TA+b00dx","1","1","1","1","1","0","0","2019-12-15","2020-12-12"
"TA+b00dy","1","1","1","1","1","0","0","2019-12-15","2020-12-12"
"TA+b00dz","1","1","1","1","1","0","0","2019-12-15","2020-12-12"
"TA+b00e0","1","1","1","1","1","0","0","2019-12-15","2020-12-12"
"TA+b00e1","1","1","1","1","1","0","0","2019-12-15","2020-12-12"
"TA+b00e2","1","1","1","1","1","0","0","2019-12-15","2020-12-12"
"TA+b00e3","1","1","1","1","0","0","0","2019-12-15","2020-12-12"
"TA+b00e4","1","1","1","1","1","0","0","2019-12-15","2020-12-12"
"TA+b00ee","1","1","1","1","1","1","1","2019-12-15","2020-12-12"
"TA+b00ef","1","1","1","1","0","0","1","2019-12-15","2020-12-12"
"TA+b00eg","1","1","1","1","1","1","1","2019-12-15","2020-12-12"
"TA+b00eh","1","1","1","1","1","1","1","2019-12-15","2020-12-12"
"TA+b00ei","0","0","0","0","0","0","1","2019-12-15","2020-12-12"
"TA+b00ej","1","1","1","1","1","0","0","2019-12-15","2020-12-12"
"TA+b00ek","1","1","1","1","1","0","0","2019-12-15","2020-12-12"
"TA+b00el","1","1","1","1","1","0","0","2019-12-15","2020-12-12"
"TA+b00em","1","1","1","1","1","1","1","2019-12-15","2020-12-12"
"TA+b00en","1","1","1","1","1","1","0","2019-12-15","2020-12-12"
"TA+b00eo","0","0","0","0","0","1","0","2019-12-15","2020-12-12"
"TA+b00ep","1","1","1","1","0","0","0","2019-12-15","2020-12-12"
"TA+b00eq","1","1","1","1","0","0","0","2019-12-15","2020-12-12"
"TA+b00er","0","0","0","0","0","1","1","2019-12-15","2020-12-12"
"TA+b00es","0","0","0","0","0","1","1","2019-12-15","2020-12-12"
"TA+b00et","0","0","0","0","0","1","1","2019-12-15","2020-12-12"
"TA+b00eu","1","1","1","1","1","0","0","2019-12-15","2020-12-12"
"TA+b00ev","1","1","1","1","1","1","1","2019-12-15","2020-12-12"
